"","image","plate","column","row","particles","area","perim","mean","circ","AR","round","solidity","r","g","b","sqmm"
"154","IMG_2104.jpg",2,8,"B",1,2389,218.024,104.251,0.632,2.505,0.399,0.954,122.027,131.989,58.836,3.40824468747903
"155","IMG_2104.jpg",2,8,"C",1,1342,149.681,90.526,0.753,1.86,0.538,0.927,105.472,116.256,50.045,1.91455185039634
"156","IMG_2104.jpg",2,8,"D",1,5913,379.061,101.315,0.517,1.297,0.771,0.859,119.037,127.967,57.055,8.4357265956733
"157","IMG_2104.jpg",2,8,"E",1,3297,258.25,78.49,0.621,2.169,0.461,0.876,92.266,105.833,37.309,4.70363446405122
"158","IMG_2104.jpg",2,8,"F",1,2568,228.752,98.189,0.617,2.317,0.432,0.898,115.654,124.681,54.288,3.66361337691342
"159","IMG_2104.jpg",2,8,"G",2,4596,416.759,99.2815,0.659,1.6115,0.6425,0.8805,116.5525,126.1045,55.237,6.55684076335439
"160","IMG_2104.jpg",2,8,"H",1,4005,276.877,79.264,0.657,1.239,0.807,0.88,94.952,108.56,34.317,5.71369609600399
"161","IMG_2104.jpg",2,9,"A",2,1755,289.22,93.6965,0.496,1.8815,0.5455,0.8475,108.3265,116.0135,56.7125,2.50375446903546
"162","IMG_2104.jpg",2,9,"B",3,5007,488.517,79.961,0.771333333333333,1.629,0.659666666666667,0.946666666666667,95.339,107.825,36.8016666666667,7.14319010054731
"163","IMG_2104.jpg",2,9,"C",2,6695,512.257,89.0675,0.6555,1.4405,0.7215,0.879,107.395,113.9905,45.785,9.55135964113525
"164","IMG_2104.jpg",2,9,"D",1,2922,238.35,87.006,0.646,1.814,0.551,0.877,103.579,116.353,41.134,4.1686441928898
"165","IMG_2104.jpg",2,9,"E",1,1805,193.48,86.596,0.606,2.286,0.437,0.884,101.413,111.466,46.991,2.57508650519031
"166","IMG_2104.jpg",2,9,"F",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"167","IMG_2104.jpg",2,9,"G",2,6534,472.458,94.3525,0.74,1.65,0.646,0.93,112.2045,123.2755,47.4995,9.32167048471662
"168","IMG_2104.jpg",2,9,"H",1,2783,245.279,104.922,0.581,2.322,0.431,0.87,121.952,130.87,62.156,3.9703411323793
"169","IMG_2104.jpg",2,10,"A",1,3198,241.765,86.665,0.688,1.93,0.518,0.919,101.969,113.124,44.933,4.56239703246461
"170","IMG_2104.jpg",2,10,"B",2,6246,598.24,108.14,0.5225,1.519,0.672,0.8505,127.031,131.0365,66.387,8.91079795646465
"171","IMG_2104.jpg",2,10,"C",2,3508,340.877,94.5155,0.623,2.2525,0.444,0.873,111.236,119.019,53.4045,5.00465565662472
"172","IMG_2104.jpg",2,10,"D",2,3549,351.605,94.073,0.744,1.821,0.608,0.915,111.546,122.5465,48.2175,5.0631479262717
"173","IMG_2104.jpg",2,10,"E",1,3423,266.635,90.284,0.605,2.081,0.481,0.86,106.207,119.342,45.274,4.88339119516146
"174","IMG_2104.jpg",2,10,"F",2,7004,600.725,98.189,0.505,2.585,0.3915,0.793,115.9355,127.1665,51.632,9.99219162457227
"175","IMG_2104.jpg",2,10,"G",2,2475,290.392,101.351,0.741,1.7825,0.596,0.9105,121.2785,127.8935,55.018,3.53093578966539
"176","IMG_2104.jpg",2,10,"H",1,11183,674.624,65.635,0.309,1.329,0.753,0.78,79.013,93.243,24.594,15.9541232063952
"177","IMG_2104.jpg",2,11,"A",2,4147,389.061,82.016,0.678,1.816,0.5585,0.906,98.3105,109.002,38.857,5.91627907868378
"178","IMG_2104.jpg",2,11,"B",1,3121,243.622,82.238,0.661,2.089,0.479,0.896,97.996,109.178,39.757,4.45254569678613
"179","IMG_2104.jpg",2,11,"C",1,545,118.125,114.305,0.491,1.517,0.659,0.806,131.2,133.327,78.349,0.777519194087933
"180","IMG_2104.jpg",2,11,"D",2,5150,426.618,82.7105,0.712,1.845,0.553,0.91,98.029,110.997,39.135,7.3471997239502
"181","IMG_2104.jpg",2,11,"E",1,3736,287.706,92.44,0.567,2.071,0.483,0.873,109.768,121.047,46.57,5.32992974149086
"182","IMG_2104.jpg",2,11,"F",3,4540,443.002,106.898333333333,0.785,1.521,0.671333333333333,0.922666666666667,125.796333333333,132.461333333333,62.4026666666667,6.47694888286095
"183","IMG_2104.jpg",2,11,"G",1,2087,211.823,111.922,0.585,1.224,0.817,0.841,134.121,138.641,62.972,2.9773991891037
"184","IMG_2104.jpg",2,11,"H",1,13980,867.82,75.793,0.233,1.479,0.676,0.713,91.813,103.706,31.807,19.9444373088978
"185","IMG_2104.jpg",2,12,"A",1,3159,235.622,66.064,0.715,1.307,0.765,0.921,79.493,92.183,26.534,4.50675804426382
"186","IMG_2104.jpg",2,12,"B",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"187","IMG_2104.jpg",2,12,"C",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"188","IMG_2104.jpg",2,12,"D",2,3682,361.99,96.997,0.702,1.625,0.6435,0.91,114.1735,124.1165,52.7735,5.25289114244362
"189","IMG_2104.jpg",2,12,"E",2,8653,639.269,94.8735,0.592,1.994,0.5495,0.822,112.058,120.9395,51.6065,12.3447221769594
"190","IMG_2104.jpg",2,12,"F",2,3457,384.333,83.6625,0.5815,2.6015,0.386,0.8655,98.794,109.361,42.8555,4.93189697974676
